# Logfile created on 2026-08-29 21:48:54 +0200 by logger.rb/v1.5.3
2026-08-29 21:48:54 +0200: Memory Usage (457108K) : activ_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (457108K) : activ_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (457108K) : activ_iopc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : activ_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : biwind_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : biwind_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : pemwind_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_drw has 98 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_pin has 24 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_iopc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : gatpoly_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : cont_drw has 1195 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : cont_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (459812K) : nsd_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460132K) : nsd_block has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460132K) : metal1_drw has 169 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460132K) : metal1_pin has 51 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460132K) : metal1_mask has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460132K) : metal1_filler has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460396K) : metal1_nofill has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460396K) : metal1_slit has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460396K) : metal1_text has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460396K) : metal1_opc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460780K) : metal1_noqrc has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460780K) : metal1_res has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal1_iprobe has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal1_diffprb has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : passiv_drw has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : passiv_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : passiv_sbump has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : passiv_pillar has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : passiv_pdl has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal2_drw has 24 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal2_pin has 0 polygons
2026-08-29 21:48:54 +0200: Memory Usage (460900K) : metal2_mask has 0 polygons
